finding_ref,source_finding_index,rule_id,surface,severity,confidence,principal,priority_bucket,priority_rationale,suggested_owner_role,current_sku,recommended_sku,estimated_monthly_savings_usd,evidence_ref,verification_checklist,followup_questions,advisory
finding:2211b1b5aaec9d6b,0,ADO.INACTIVE_BASIC_90D,ado,high,high,sha256:124abc21ba41b6f9,p1,"P1 because severity is high, confidence is high, and the finding has $6.00/mo estimated savings.",ado-org-admin,ADO.BASIC,,6.0,,"Confirm the Azure DevOps organisation and project ownership. | Review work-item, code, pipeline, and Test Plans activity before changing access. | Verify stakeholder eligibility or parallel-job needs with the ADO admin.","Is the access level needed for upcoming sprint, test, or release work? | Are project-level permissions or stakeholder limitations acceptable?",True
finding:5bd2e39c60d7f6a5,1,ADO.STAKEHOLDER_ELIGIBLE,ado,medium,high,sha256:6c17296b74c9fb4a,p3,"P3 because severity is medium, confidence is high, and the finding has $6.00/mo estimated savings.",ado-org-admin,ADO.BASIC,,6.0,,"Confirm the Azure DevOps organisation and project ownership. | Review work-item, code, pipeline, and Test Plans activity before changing access. | Verify stakeholder eligibility or parallel-job needs with the ADO admin.","Is the access level needed for upcoming sprint, test, or release work? | Are project-level permissions or stakeholder limitations acceptable?",True
finding:9bd537e2990f78f3,2,ADO.PARALLEL_JOBS_OVER_PROVISIONED,ado,medium,high,sha256:d7235265ed0e5c83,p2,"P2 because severity is medium, confidence is high, and the finding has $280.00/mo estimated savings.",ado-org-admin,,,280.0,,"Confirm the Azure DevOps organisation and project ownership. | Review work-item, code, pipeline, and Test Plans activity before changing access. | Verify stakeholder eligibility or parallel-job needs with the ADO admin.","Is the access level needed for upcoming sprint, test, or release work? | Are project-level permissions or stakeholder limitations acceptable?",True
finding:435593e64c9dc8cb,3,ADO.TEST_PLANS_UNUSED,ado,medium,high,sha256:ae691e231b441a77,p3,"P3 because severity is medium, confidence is high, and the finding has $46.00/mo estimated savings.",ado-org-admin,ADO.BASIC_TEST,ADO.BASIC,46.0,,"Confirm the Azure DevOps organisation and project ownership. | Review work-item, code, pipeline, and Test Plans activity before changing access. | Verify stakeholder eligibility or parallel-job needs with the ADO admin.","Is the access level needed for upcoming sprint, test, or release work? | Are project-level permissions or stakeholder limitations acceptable?",True
finding:eeae27cda8e78372,4,AZ.IDLE_VM_14D,azure,high,high,sha256:932b9351ef962f3c,p1,"P1 because severity is high, confidence is high, and the finding has $140.00/mo estimated savings.",azure-owner,Standard_D4s_v5,,140.0,,"Confirm the resource is still owned and in scope for optimisation. | Review recent metrics, tags, and change windows before resizing or stopping. | Verify reservations, commitments, or environment tags with the FinOps owner.","Is this workload seasonal, recently deployed, or intentionally kept warm? | Would a right-size or commitment change affect availability targets?",True
finding:6eeac2447b5bbf80,5,AZ.UNATTACHED_DISK,azure,medium,high,sha256:23c12f05be25787a,p3,"P3 because severity is medium, confidence is high, and the finding has $42.00/mo estimated savings.",azure-owner,Premium_LRS_512,,42.0,,"Confirm the resource is still owned and in scope for optimisation. | Review recent metrics, tags, and change windows before resizing or stopping. | Verify reservations, commitments, or environment tags with the FinOps owner.","Is this workload seasonal, recently deployed, or intentionally kept warm? | Would a right-size or commitment change affect availability targets?",True
finding:7f1022fd7fb728d2,6,AZ.PUBLIC_IP_UNATTACHED,azure,low,high,sha256:ed17f7f143d9b62e,p4,"P4 because severity is low, confidence is high, and the finding has $3.65/mo estimated savings.",azure-owner,Standard,,3.65,,"Confirm the resource is still owned and in scope for optimisation. | Review recent metrics, tags, and change windows before resizing or stopping. | Verify reservations, commitments, or environment tags with the FinOps owner.","Is this workload seasonal, recently deployed, or intentionally kept warm? | Would a right-size or commitment change affect availability targets?",True
finding:54227d49c75378a0,7,AZ.OVERSIZED_VM,azure,medium,high,sha256:0cce3820ec705be2,p3,"P3 because severity is medium, confidence is high, and the finding has unknown savings.",azure-owner,Standard_D8s_v5,Standard_D4s_v5,,,"Confirm the resource is still owned and in scope for optimisation. | Review recent metrics, tags, and change windows before resizing or stopping. | Verify reservations, commitments, or environment tags with the FinOps owner.","Is this workload seasonal, recently deployed, or intentionally kept warm? | Would a right-size or commitment change affect availability targets?",True
finding:cadd58b7016e930e,8,AZ.RESERVATION_UNDERUTILIZED,azure,high,high,sha256:efb1eb6d0c6c0952,p1,"P1 because severity is high, confidence is high, and the finding has unknown savings.",finops-analyst,Standard_D4s_v5,,,,"Confirm the resource is still owned and in scope for optimisation. | Review recent metrics, tags, and change windows before resizing or stopping. | Verify reservations, commitments, or environment tags with the FinOps owner.","Is this workload seasonal, recently deployed, or intentionally kept warm? | Would a right-size or commitment change affect availability targets?",True
finding:d5574dbab15eb47f,9,AZ.LOG_ANALYTICS_OVERINGEST,azure,medium,high,sha256:eb88542d48a4e0ce,p2,"P2 because severity is medium, confidence is high, and the finding has $384.00/mo estimated savings.",finops-analyst,,,384.0,,"Confirm the resource is still owned and in scope for optimisation. | Review recent metrics, tags, and change windows before resizing or stopping. | Verify reservations, commitments, or environment tags with the FinOps owner.","Is this workload seasonal, recently deployed, or intentionally kept warm? | Would a right-size or commitment change affect availability targets?",True
finding:0e5e2ba81971a04e,10,AZ.DEV_TEST_SUB_MISMATCH,azure,medium,high,sha256:f7ca075ffb272bf1,p3,"P3 because severity is medium, confidence is high, and the finding has unknown savings.",azure-owner,Standard_D4s_v3,,,,"Confirm the resource is still owned and in scope for optimisation. | Review recent metrics, tags, and change windows before resizing or stopping. | Verify reservations, commitments, or environment tags with the FinOps owner.","Is this workload seasonal, recently deployed, or intentionally kept warm? | Would a right-size or commitment change affect availability targets?",True
finding:69b257a7e994cdbb,11,AZ.COMMITMENT_UNDER_COVERED,azure,medium,high,sha256:efb1eb6d0c6c0952,p3,"P3 because severity is medium, confidence is high, and the finding has unknown savings.",azure-owner,Standard_D4s_v5,,,,"Confirm the resource is still owned and in scope for optimisation. | Review recent metrics, tags, and change windows before resizing or stopping. | Verify reservations, commitments, or environment tags with the FinOps owner.","Is this workload seasonal, recently deployed, or intentionally kept warm? | Would a right-size or commitment change affect availability targets?",True
finding:abdb4a47224344b6,12,AZ.COMMITMENT_UNDER_COVERED,azure,medium,high,sha256:efb1eb6d0c6c0952,p3,"P3 because severity is medium, confidence is high, and the finding has unknown savings.",azure-owner,Standard_D4s_v5,,,,"Confirm the resource is still owned and in scope for optimisation. | Review recent metrics, tags, and change windows before resizing or stopping. | Verify reservations, commitments, or environment tags with the FinOps owner.","Is this workload seasonal, recently deployed, or intentionally kept warm? | Would a right-size or commitment change affect availability targets?",True
finding:09f2dcc80bce85da,13,GH.INACTIVE_SEAT_90D,github,high,high,sha256:04b261baa36f3936,p1,"P1 because severity is high, confidence is high, and the finding has $21.00/mo estimated savings.",github-org-admin,GH.ENTERPRISE,,21.0,,"Confirm the seat, org, or repository ownership before changing entitlements. | Review recent contribution, Copilot, GHAS, and runner usage signals. | Verify security or release-engineering exceptions with the GitHub admin.","Is the seat required for a pending project, compliance control, or release window? | Are repository or runner signals delayed by billing-period timing?",True
finding:3ab27a128a74fbd1,14,GH.COPILOT_INACTIVE_30D,github,high,high,sha256:190ed4a1b3b1b479,p1,"P1 because severity is high, confidence is high, and the finding has $19.00/mo estimated savings.",github-org-admin,GH.COPILOT_BUSINESS,,19.0,,"Confirm the seat, org, or repository ownership before changing entitlements. | Review recent contribution, Copilot, GHAS, and runner usage signals. | Verify security or release-engineering exceptions with the GitHub admin.","Is the seat required for a pending project, compliance control, or release window? | Are repository or runner signals delayed by billing-period timing?",True
finding:75ced20c81dfbb75,15,GH.GHAS_OVER_PROVISIONED,github,medium,high,sha256:d7235265ed0e5c83,p3,"P3 because severity is medium, confidence is high, and the finding has unknown savings.",github-org-admin,GH.GHAS,,,,"Confirm the seat, org, or repository ownership before changing entitlements. | Review recent contribution, Copilot, GHAS, and runner usage signals. | Verify security or release-engineering exceptions with the GitHub admin.","Is the seat required for a pending project, compliance control, or release window? | Are repository or runner signals delayed by billing-period timing?",True
finding:b3dabb4adfd741cc,16,GH.RUNNER_TIER_MISMATCH,github,low,high,sha256:d7235265ed0e5c83,p4,"P4 because severity is low, confidence is high, and the finding has unknown savings.",github-org-admin,team,,,,"Confirm the seat, org, or repository ownership before changing entitlements. | Review recent contribution, Copilot, GHAS, and runner usage signals. | Verify security or release-engineering exceptions with the GitHub admin.","Is the seat required for a pending project, compliance control, or release window? | Are repository or runner signals delayed by billing-period timing?",True
finding:08da895916bb5375,17,M365.UNUSED_LICENSE_30D,m365,high,high,sha256:405ee3fd5bda4576,p1,"P1 because severity is high, confidence is high, and the finding has $36.00/mo estimated savings.",license-admin,SPE_E3,,36.0,,"Confirm the assigned persona and business exception with the license owner. | Review recent sign-in and workload activity before changing any license. | Verify compliance, mailbox, guest, or break-glass exceptions are not present.","Is the principal covered by a legal hold, eDiscovery, shared-mailbox, or service-account exception? | Does the persona assignment match the user's current role?",True
finding:1b5c9215eb1910c7,18,M365.UNUSED_LICENSE_30D,m365,high,high,sha256:405ee3fd5bda4576,p1,"P1 because severity is high, confidence is high, and the finding has $30.00/mo estimated savings.",license-admin,M365_COPILOT,,30.0,,"Confirm the assigned persona and business exception with the license owner. | Review recent sign-in and workload activity before changing any license. | Verify compliance, mailbox, guest, or break-glass exceptions are not present.","Is the principal covered by a legal hold, eDiscovery, shared-mailbox, or service-account exception? | Does the persona assignment match the user's current role?",True
finding:09c068adac99a7ee,19,M365.UNUSED_LICENSE_30D,m365,high,high,sha256:3498566c1646cc7a,p1,"P1 because severity is high, confidence is high, and the finding has $30.00/mo estimated savings.",license-admin,M365_COPILOT,,30.0,,"Confirm the assigned persona and business exception with the license owner. | Review recent sign-in and workload activity before changing any license. | Verify compliance, mailbox, guest, or break-glass exceptions are not present.","Is the principal covered by a legal hold, eDiscovery, shared-mailbox, or service-account exception? | Does the persona assignment match the user's current role?",True
finding:59232e973a7f3457,20,M365.UNUSED_LICENSE_30D,m365,high,high,sha256:240ece34ff6a9236,p1,"P1 because severity is high, confidence is high, and the finding has $36.00/mo estimated savings.",license-admin,SPE_E3,,36.0,,"Confirm the assigned persona and business exception with the license owner. | Review recent sign-in and workload activity before changing any license. | Verify compliance, mailbox, guest, or break-glass exceptions are not present.","Is the principal covered by a legal hold, eDiscovery, shared-mailbox, or service-account exception? | Does the persona assignment match the user's current role?",True
finding:0d588334ef87729b,21,M365.OVER_LICENSED_VS_PERSONA,m365,medium,high,sha256:ef73380a88ef4f55,p3,"P3 because severity is medium, confidence is high, and the finding has $49.00/mo estimated savings.",license-admin,SPE_E5,SPE_F3,49.0,,"Confirm the assigned persona and business exception with the license owner. | Review recent sign-in and workload activity before changing any license. | Verify compliance, mailbox, guest, or break-glass exceptions are not present.","Is the principal covered by a legal hold, eDiscovery, shared-mailbox, or service-account exception? | Does the persona assignment match the user's current role?",True
finding:fc028001b9dec374,22,M365.OVER_LICENSED_VS_PERSONA,m365,medium,high,sha256:68912ee6976f6653,p3,"P3 because severity is medium, confidence is high, and the finding has $44.50/mo estimated savings.",license-admin,SPE_E5,O365_BUSINESS_PREMIUM,44.5,,"Confirm the assigned persona and business exception with the license owner. | Review recent sign-in and workload activity before changing any license. | Verify compliance, mailbox, guest, or break-glass exceptions are not present.","Is the principal covered by a legal hold, eDiscovery, shared-mailbox, or service-account exception? | Does the persona assignment match the user's current role?",True
finding:ce81c27bf0994d34,23,M365.OVER_LICENSED_VS_PERSONA,m365,medium,high,sha256:405ee3fd5bda4576,p3,"P3 because severity is medium, confidence is high, and the finding has $23.50/mo estimated savings.",license-admin,SPE_E3,O365_BUSINESS_PREMIUM,23.5,,"Confirm the assigned persona and business exception with the license owner. | Review recent sign-in and workload activity before changing any license. | Verify compliance, mailbox, guest, or break-glass exceptions are not present.","Is the principal covered by a legal hold, eDiscovery, shared-mailbox, or service-account exception? | Does the persona assignment match the user's current role?",True
finding:632cd89946cc711a,24,M365.OVER_LICENSED_VS_PERSONA,m365,medium,high,sha256:3498566c1646cc7a,p3,"P3 because severity is medium, confidence is high, and the finding has $30.00/mo estimated savings.",license-admin,SPE_E3,O365_BUSINESS_ESSENTIALS,30.0,,"Confirm the assigned persona and business exception with the license owner. | Review recent sign-in and workload activity before changing any license. | Verify compliance, mailbox, guest, or break-glass exceptions are not present.","Is the principal covered by a legal hold, eDiscovery, shared-mailbox, or service-account exception? | Does the persona assignment match the user's current role?",True
finding:3c952bf445337c05,25,M365.OVER_LICENSED_VS_PERSONA,m365,medium,high,sha256:b18bee93a260c831,p3,"P3 because severity is medium, confidence is high, and the finding has $23.50/mo estimated savings.",license-admin,SPE_E3,O365_BUSINESS_PREMIUM,23.5,,"Confirm the assigned persona and business exception with the license owner. | Review recent sign-in and workload activity before changing any license. | Verify compliance, mailbox, guest, or break-glass exceptions are not present.","Is the principal covered by a legal hold, eDiscovery, shared-mailbox, or service-account exception? | Does the persona assignment match the user's current role?",True
finding:2f5f5958ab7ee79d,26,M365.OVER_LICENSED_VS_PERSONA,m365,medium,high,sha256:4eee514e4174de62,p3,"P3 because severity is medium, confidence is high, and the finding has $44.50/mo estimated savings.",license-admin,SPE_E5,O365_BUSINESS_PREMIUM,44.5,,"Confirm the assigned persona and business exception with the license owner. | Review recent sign-in and workload activity before changing any license. | Verify compliance, mailbox, guest, or break-glass exceptions are not present.","Is the principal covered by a legal hold, eDiscovery, shared-mailbox, or service-account exception? | Does the persona assignment match the user's current role?",True
finding:6313dbb92cc2989a,27,M365.DUPLICATE_BUNDLE,m365,medium,high,sha256:cb7859dadf6104a6,p3,"P3 because severity is medium, confidence is high, and the finding has $10.00/mo estimated savings.",license-admin,SPE_E3,,10.0,,"Confirm the assigned persona and business exception with the license owner. | Review recent sign-in and workload activity before changing any license. | Verify compliance, mailbox, guest, or break-glass exceptions are not present.","Is the principal covered by a legal hold, eDiscovery, shared-mailbox, or service-account exception? | Does the persona assignment match the user's current role?",True
finding:2a7ff6c41044e94b,28,M365.DISABLED_USER_LICENSED,m365,high,high,sha256:405ee3fd5bda4576,p1,"P1 because severity is high, confidence is high, and the finding has $36.00/mo estimated savings.",identity-admin,SPE_E3,,36.0,,"Confirm the assigned persona and business exception with the license owner. | Review recent sign-in and workload activity before changing any license. | Verify compliance, mailbox, guest, or break-glass exceptions are not present.","Is the principal covered by a legal hold, eDiscovery, shared-mailbox, or service-account exception? | Does the persona assignment match the user's current role?",True
finding:df970d167caba76b,29,M365.DISABLED_USER_LICENSED,m365,high,high,sha256:405ee3fd5bda4576,p1,"P1 because severity is high, confidence is high, and the finding has $30.00/mo estimated savings.",identity-admin,M365_COPILOT,,30.0,,"Confirm the assigned persona and business exception with the license owner. | Review recent sign-in and workload activity before changing any license. | Verify compliance, mailbox, guest, or break-glass exceptions are not present.","Is the principal covered by a legal hold, eDiscovery, shared-mailbox, or service-account exception? | Does the persona assignment match the user's current role?",True
finding:e8997598fd88789e,30,M365.SHARED_MAILBOX_LICENSED,m365,medium,high,sha256:909667c749d6ebb9,p3,"P3 because severity is medium, confidence is high, and the finding has $4.00/mo estimated savings.",license-admin,EXCHANGESTANDARD,,4.0,,"Confirm the assigned persona and business exception with the license owner. | Review recent sign-in and workload activity before changing any license. | Verify compliance, mailbox, guest, or break-glass exceptions are not present.","Is the principal covered by a legal hold, eDiscovery, shared-mailbox, or service-account exception? | Does the persona assignment match the user's current role?",True
finding:ac31439ea8ff84c9,31,M365.GUEST_PREMIUM_LICENSED,m365,medium,high,sha256:240ece34ff6a9236,p3,"P3 because severity is medium, confidence is high, and the finding has $36.00/mo estimated savings.",identity-admin,SPE_E3,,36.0,,"Confirm the assigned persona and business exception with the license owner. | Review recent sign-in and workload activity before changing any license. | Verify compliance, mailbox, guest, or break-glass exceptions are not present.","Is the principal covered by a legal hold, eDiscovery, shared-mailbox, or service-account exception? | Does the persona assignment match the user's current role?",True
finding:73ce3e924451fd6b,32,M365.COPILOT_INACTIVE_60D,m365,high,high,sha256:405ee3fd5bda4576,p1,"P1 because severity is high, confidence is high, and the finding has $30.00/mo estimated savings.",license-admin,M365_COPILOT,,30.0,,"Confirm the assigned persona and business exception with the license owner. | Review recent sign-in and workload activity before changing any license. | Verify compliance, mailbox, guest, or break-glass exceptions are not present.","Is the principal covered by a legal hold, eDiscovery, shared-mailbox, or service-account exception? | Does the persona assignment match the user's current role?",True
finding:badf5199c285f1ce,33,M365.COPILOT_INACTIVE_60D,m365,high,high,sha256:3498566c1646cc7a,p1,"P1 because severity is high, confidence is high, and the finding has $30.00/mo estimated savings.",license-admin,M365_COPILOT,,30.0,,"Confirm the assigned persona and business exception with the license owner. | Review recent sign-in and workload activity before changing any license. | Verify compliance, mailbox, guest, or break-glass exceptions are not present.","Is the principal covered by a legal hold, eDiscovery, shared-mailbox, or service-account exception? | Does the persona assignment match the user's current role?",True
finding:becc9148c01bc57a,34,M365.E5_FEATURES_UNUSED,m365,medium,high,sha256:ef73380a88ef4f55,p3,"P3 because severity is medium, confidence is high, and the finding has $21.00/mo estimated savings.",license-admin,SPE_E5,SPE_E3,21.0,,"Confirm the assigned persona and business exception with the license owner. | Review recent sign-in and workload activity before changing any license. | Verify compliance, mailbox, guest, or break-glass exceptions are not present.","Is the principal covered by a legal hold, eDiscovery, shared-mailbox, or service-account exception? | Does the persona assignment match the user's current role?",True
finding:e35e0e49114e35ec,35,M365.E5_FEATURES_UNUSED,m365,medium,high,sha256:4eee514e4174de62,p3,"P3 because severity is medium, confidence is high, and the finding has $21.00/mo estimated savings.",license-admin,SPE_E5,SPE_E3,21.0,,"Confirm the assigned persona and business exception with the license owner. | Review recent sign-in and workload activity before changing any license. | Verify compliance, mailbox, guest, or break-glass exceptions are not present.","Is the principal covered by a legal hold, eDiscovery, shared-mailbox, or service-account exception? | Does the persona assignment match the user's current role?",True
