ServiceProviderName,HostProviderName,ServiceName,ServiceCategory,ServiceSubcategory,ChargeCategory,ChargeClass,ChargeFrequency,ChargeDescription,SkuId,ResourceId,ResourceType,BillingPeriodStart,BillingPeriodEnd,PricingCurrency,ListCost,ContractedCost,BilledCost,EffectiveCost,EstimatedMonthlySavingsUsd,AdvisoryFindingKey,RuleId,Severity
Microsoft,Microsoft,Azure DevOps,Developer Tools,,Advisory,Optimization,Monthly,"sha256:124abc21ba41b6f9 holds an ADO Basic seat but shows no work-item, code, or pipeline activity in 90 days. Reclaim the seat.",ADO.BASIC,sha256:124abc21ba41b6f9,seat,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,6.0,d68bc510b2fc7d85ddbfa899d0d0f9f518d42588acd846e90db8603365d8e316,ADO.INACTIVE_BASIC_90D,high
Microsoft,Microsoft,Azure DevOps,Developer Tools,,Advisory,Optimization,Monthly,The organization owns 10 Microsoft-hosted parallel jobs but P95 concurrent usage was 3. Reduce the purchased count.,,sha256:d7235265ed0e5c83,seat,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,280.0,f25a2c47850cef0687919547e63e447a28f8b8cb7945715d97f57250cbff8e58,ADO.PARALLEL_JOBS_OVER_PROVISIONED,medium
Microsoft,Microsoft,Azure DevOps,Developer Tools,,Advisory,Optimization,Monthly,sha256:6c17296b74c9fb4a's only ADO activity in 90 days is reading boards and commenting. Step them down to the free Stakeholder access level.,ADO.BASIC,sha256:6c17296b74c9fb4a,seat,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,6.0,ed621e5e662f73ba6ab1bd7ba5af7db49f55351591bf1674f9b8f2c06ae92b02,ADO.STAKEHOLDER_ELIGIBLE,medium
Microsoft,Microsoft,Azure DevOps,Developer Tools,,Advisory,Optimization,Monthly,sha256:ae691e231b441a77 holds a Basic + Test Plans seat but has not opened or modified a Test Plan in 60 days. Step down to Basic.,ADO.BASIC_TEST,sha256:ae691e231b441a77,seat,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,46.0,e3f4e46468d90c2aa5a2c827f03b76efefe85898ced5673d9ef65466962936ba,ADO.TEST_PLANS_UNUSED,medium
Microsoft,Microsoft,Azure,Compute,,Advisory,Optimization,Monthly,"VM sha256:f54ac37e8807851e (Standard_D4s_v5, eastus) has os_type=Windows but license_type=(none). Consider enabling Azure Hybrid Benefit (Windows_Server) to reduce the Windows Server licence cost component. Verify that the organisation holds sufficient Windows Server SA or subscription licences before toggling.",Standard_D4s_v5,sha256:f54ac37e8807851e,,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,,427d5541e7b6ce6a62e0d99225f95aaa0a0f7529bef7debfea17bf606c3f09c4,AZ.AHB_ELIGIBLE,info
Microsoft,Microsoft,Azure,Compute,,Advisory,Optimization,Monthly,"Reservation sha256:efb1eb6d0c6c0952 (Standard_D4s_v5) expires on 2026-06-12 (in 30 days) and is not configured to auto-renew. Verify whether the workload still needs reserved capacity. If yes, consider renewing or exchanging the reservation before the expiry date. If no, plan for the workload to fall back to on-demand pricing on 2026-06-12 and capture the projected on-demand cost in your forecast.",Standard_D4s_v5,sha256:efb1eb6d0c6c0952,,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,,dccea2748bdf8d45cef2eaef3b229f0d8dc6e0169cacf951ee14bf01f9dee057,AZ.COMMITMENT_RENEWAL_REVIEW,medium
Microsoft,Microsoft,Azure,Compute,,Advisory,Optimization,Monthly,"Reservation sha256:efb1eb6d0c6c0952 is Shared-scope and averaged 45.0% utilisation, while sibling subscription sha256:6581d3cf7d0d3d5a shows $120.0 of on-demand resource spend over the same window. Verify the sibling's on-demand SKUs are compatible with this reservation's family and region (Azure auto-applies on a best-fit basis), then consider widening the reservation's applied scope so the sibling's workload absorbs the unused capacity.",Standard_D4s_v5,sha256:efb1eb6d0c6c0952,,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,,8117fa5643fbb174ab2e88b40942bf1381c45aa21b8c7af72fc975692325e864,AZ.COMMITMENT_UNDER_COVERED,medium
Microsoft,Microsoft,Azure,Compute,,Advisory,Optimization,Monthly,"Reservation sha256:efb1eb6d0c6c0952 is Shared-scope and averaged 45.0% utilisation, while sibling subscription sha256:d3c35dbc62687a64 shows $180.0 of on-demand resource spend over the same window. Verify the sibling's on-demand SKUs are compatible with this reservation's family and region (Azure auto-applies on a best-fit basis), then consider widening the reservation's applied scope so the sibling's workload absorbs the unused capacity.",Standard_D4s_v5,sha256:efb1eb6d0c6c0952,,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,,4b2c1689e4c6a3c8a8bd6bd177c96542260477fcb1aed8696cc458fb25d8445f,AZ.COMMITMENT_UNDER_COVERED,medium
Microsoft,Microsoft,Azure,Compute,,Advisory,Optimization,Monthly,"Reservation sha256:efb1eb6d0c6c0952 is Shared-scope and averaged 45.0% utilisation, while sibling subscription sha256:92498a1282297365 shows $200.0 of on-demand resource spend over the same window. Verify the sibling's on-demand SKUs are compatible with this reservation's family and region (Azure auto-applies on a best-fit basis), then consider widening the reservation's applied scope so the sibling's workload absorbs the unused capacity.",Standard_D4s_v5,sha256:efb1eb6d0c6c0952,,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,,bbec790e243bc13c1d82c69f59ab8761eb3e6345a5b497221372d24a87c4e918,AZ.COMMITMENT_UNDER_COVERED,medium
Microsoft,Microsoft,Azure,Compute,,Advisory,Optimization,Monthly,Resource sha256:f7ca075ffb272bf1 is tagged env=prod but lives in subscription 11111111 (Dev/Test). Move the workload to a subscription with the matching offer to avoid mispricing or compliance risk.,Standard_D4s_v3,sha256:f7ca075ffb272bf1,,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,,c1f28018d76b24176205b6b34362711e460a5617f95ec6197bd9d33e4ef28dd5,AZ.DEV_TEST_SUB_MISMATCH,medium
Microsoft,Microsoft,Azure,Compute,,Advisory,Optimization,Monthly,"Virtual machine sha256:932b9351ef962f3c has averaged 2.0% CPU and 8.0 KB/s network over 14 days. Stop or deallocate the VM, or right-size to a smaller SKU.",Standard_D4s_v5,sha256:932b9351ef962f3c,,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,140.0,4acaa244297c2c42cbce92e7de72cc00ef29a5a9aae676c2f945c45d1d1f0e09,AZ.IDLE_VM_14D,high
Microsoft,Microsoft,Azure,Compute,,Advisory,Optimization,Monthly,Workspace sha256:eb88542d48a4e0ce ingested 120.0 GB/day on average. Move to commitment tier 100gb_per_day_commitment for ~32.0% list-price reduction.,,sha256:eb88542d48a4e0ce,,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,384.0,3fdc8394123a1b3e43307560e7659e27fe1bf50f2d726acc88b582dca08d089d,AZ.LOG_ANALYTICS_OVERINGEST,medium
Microsoft,Microsoft,Azure,Compute,,Advisory,Optimization,Monthly,sha256:0cce3820ec705be2 (Standard_D8s_v5) shows P95 CPU 25.0% and P95 memory 30.0%. Resize to Standard_D4s_v5 in the same family.,Standard_D8s_v5,sha256:0cce3820ec705be2,,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,,c25567b656d899c50a4c30c82e0c3b02e5cfef9cfcac3cab47fc7a829d826455,AZ.OVERSIZED_VM,medium
Microsoft,Microsoft,Azure,Compute,,Advisory,Optimization,Monthly,Public IP sha256:ed17f7f143d9b62e is unattached and accruing reservation charges. Release it.,Standard,sha256:ed17f7f143d9b62e,,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,3.65,e07de66d54a7d006f83bf97eed4a0b2f907612f2d70cc972a08eeab41cca8656,AZ.PUBLIC_IP_UNATTACHED,low
Microsoft,Microsoft,Azure,Compute,,Advisory,Optimization,Monthly,"Reservation sha256:4edd5d584b224e77 is scoped to sha256:67f5b5bc1fe92f81 while subscriptions sha256:6581d3cf7d0d3d5a, sha256:92498a1282297365, sha256:d3c35dbc62687a64 carry $500.0/mo of on-demand spend on potentially compatible workloads. Consider widening the reservation's applied scope (Single → Shared or Management Group) so the sibling workloads can absorb unused reserved capacity, or verify the narrow scope is intentional (e.g., chargeback isolation).",GP_Gen5_8,sha256:4edd5d584b224e77,,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,500.0,2559c0edd9a32d2af405a1a40d5923c0bbe7cc408ba463ed907f87370280c7ed,AZ.RESERVATION_SCOPE_MISMATCH,medium
Microsoft,Microsoft,Azure,Compute,,Advisory,Optimization,Monthly,Reservation sha256:efb1eb6d0c6c0952 averaged 45.0% utilization over 30 days. Exchange or shrink the commitment at next renewal.,Standard_D4s_v5,sha256:efb1eb6d0c6c0952,,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,,fa9a3d8fa12177911a84a86a1e6020231731b61dae0072a616932ce55a7adc96,AZ.RESERVATION_UNDERUTILIZED,high
Microsoft,Microsoft,Azure,Compute,,Advisory,Optimization,Monthly,"Disk sha256:23c12f05be25787a (? GB, Premium_LRS_512) has been unattached since 30 days ago. Delete or snapshot-and-delete.",Premium_LRS_512,sha256:23c12f05be25787a,,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,42.0,e0682cf79f30d022f9a4c65652096eb015f0b8fae288ecba81cdd06799e2d52d,AZ.UNATTACHED_DISK,medium
Microsoft,Microsoft,GitHub,Developer Tools,,Advisory,Optimization,Monthly,sha256:190ed4a1b3b1b479 holds a Copilot seat but has accepted zero suggestions in 30 days. Reassign or remove the seat.,GH.COPILOT_BUSINESS,sha256:190ed4a1b3b1b479,seat,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,19.0,d72ffc7590d01c5aaf26ea0a9338dcf2a67b1624f1fca224ae7d12ebe5b83cc3,GH.COPILOT_INACTIVE_30D,high
Microsoft,Microsoft,GitHub,Developer Tools,,Advisory,Optimization,Monthly,"GHAS is enabled on 40 repositories with 55 unique committers in the last 90 days, but only 12 repos have produced an alert. Disable GHAS on inactive repos to reduce billable committers.",GH.GHAS,sha256:d7235265ed0e5c83,seat,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,,ef97a365cd05b682169f83de1df5515ae9cea09cf4232e41ba76e5366c6c7654,GH.GHAS_OVER_PROVISIONED,medium
Microsoft,Microsoft,GitHub,Developer Tools,,Advisory,Optimization,Monthly,"sha256:04b261baa36f3936 has had no commits, reviews, issue activity, or sign-ins in 90 days. Reclaim the GH.ENTERPRISE seat.",GH.ENTERPRISE,sha256:04b261baa36f3936,seat,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,21.0,b0bda069482511edf9813b4257863dc306e39b14a6312dbfddb2bf135422dacb,GH.INACTIVE_SEAT_90D,high
Microsoft,Microsoft,GitHub,Developer Tools,,Advisory,Optimization,Monthly,The org consumed 12000 runner-minutes in the last billing period against 50000 included minutes. Consumption is 76% below the team tier's included quota; verify whether a lower-tier bundle would still cover peak months.,team,sha256:d7235265ed0e5c83,seat,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,,f858cbec7ba3dcb4985f79346e5a058b8e523d7bacf43ed3c25419c65af6b9ac,GH.RUNNER_TIER_MISMATCH,low
Microsoft,Microsoft,Microsoft 365,Collaboration,,Advisory,Optimization,Monthly,sha256:3498566c1646cc7a has Copilot for M365 assigned but no Copilot interactions in the last 60 days. Reassign the seat.,M365_COPILOT,sha256:3498566c1646cc7a,user_license,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,30.0,12fad0d6e011321a576176e419a98d50a335f9ebb857a87bf485a87bc6a7d710,M365.COPILOT_INACTIVE_60D,high
Microsoft,Microsoft,Microsoft 365,Collaboration,,Advisory,Optimization,Monthly,sha256:405ee3fd5bda4576 has Copilot for M365 assigned but no Copilot interactions in the last 60 days. Reassign the seat.,M365_COPILOT,sha256:405ee3fd5bda4576,user_license,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,30.0,ca383b5d8acace1b599dca273f1312a1f522e838d763ee1964e3a7edb6c72689,M365.COPILOT_INACTIVE_60D,high
Microsoft,Microsoft,Microsoft 365,Collaboration,,Advisory,Optimization,Monthly,sha256:405ee3fd5bda4576 (accountEnabled = false) still has SPE_E3 assigned. Reclaim the license.,SPE_E3,sha256:405ee3fd5bda4576,user_license,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,36.0,f4bcb8571a8ad18a3201d37f886e0e96ec42fcb322a41ca912e899837827ac99,M365.DISABLED_USER_LICENSED,high
Microsoft,Microsoft,Microsoft 365,Collaboration,,Advisory,Optimization,Monthly,sha256:405ee3fd5bda4576 (accountEnabled = false) still has M365_COPILOT assigned. Reclaim the license.,M365_COPILOT,sha256:405ee3fd5bda4576,user_license,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,30.0,f4bcb8571a8ad18a3201d37f886e0e96ec42fcb322a41ca912e899837827ac99,M365.DISABLED_USER_LICENSED,high
Microsoft,Microsoft,Microsoft 365,Collaboration,,Advisory,Optimization,Monthly,"sha256:cb7859dadf6104a6 has SPE_E3, which already covers the capabilities of SHAREPOINTENTERPRISE. Remove SHAREPOINTENTERPRISE.",SPE_E3,sha256:cb7859dadf6104a6,user_license,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,10.0,b2cfd6ed12a0bdafc1519cfa74546c1a983920897634c6adfd20772080554f1c,M365.DUPLICATE_BUNDLE,medium
Microsoft,Microsoft,Microsoft 365,Collaboration,,Advisory,Optimization,Monthly,"sha256:4eee514e4174de62 is on E5 but none of the E5-exclusive capabilities (Defender for O365 P2, Purview DLP/IP, Entra P2 risk policies) have been exercised in 90 days. Consider stepping down to E3 plus targeted add-ons.",SPE_E5,sha256:4eee514e4174de62,user_license,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,21.0,4b6257165a166f868c703eebee28c95741f2c3d13310f8005798b84ac97b89c8,M365.E5_FEATURES_UNUSED,medium
Microsoft,Microsoft,Microsoft 365,Collaboration,,Advisory,Optimization,Monthly,"sha256:ef73380a88ef4f55 is on E5 but none of the E5-exclusive capabilities (Defender for O365 P2, Purview DLP/IP, Entra P2 risk policies) have been exercised in 90 days. Consider stepping down to E3 plus targeted add-ons.",SPE_E5,sha256:ef73380a88ef4f55,user_license,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,21.0,ecb15c291c085405a9a3ad4d11d5abe328762a72fee6473afcddf742b5d05cdd,M365.E5_FEATURES_UNUSED,medium
Microsoft,Microsoft,Microsoft 365,Collaboration,,Advisory,Optimization,Monthly,Guest user sha256:240ece34ff6a9236 has SPE_E3 assigned. Guests should rely on the host tenant's resources; remove the assignment unless explicitly justified.,SPE_E3,sha256:240ece34ff6a9236,user_license,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,36.0,5c29ed13c1b1562eb4948151281c9acff1d52198e772d66d9cb706d6d17678c6,M365.GUEST_PREMIUM_LICENSED,medium
Microsoft,Microsoft,Microsoft 365,Collaboration,,Advisory,Optimization,Monthly,sha256:3498566c1646cc7a is classified as persona 'developer'. Their current SKU SPE_E3 provides features beyond what this persona requires. Consider O365_BUSINESS_ESSENTIALS.,SPE_E3,sha256:3498566c1646cc7a,user_license,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,30.0,db728529be4d7ce856e2dd64843a2e00470d9cf337e329fef5f7ebde75dc8cea,M365.OVER_LICENSED_VS_PERSONA,medium
Microsoft,Microsoft,Microsoft 365,Collaboration,,Advisory,Optimization,Monthly,sha256:405ee3fd5bda4576 is classified as persona 'information_worker'. Their current SKU SPE_E3 provides features beyond what this persona requires. Consider O365_BUSINESS_PREMIUM.,SPE_E3,sha256:405ee3fd5bda4576,user_license,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,23.5,699f73a0331f354568b0d120417aadc2a6e6f9450a3833948fd729cfd8c962c1,M365.OVER_LICENSED_VS_PERSONA,medium
Microsoft,Microsoft,Microsoft 365,Collaboration,,Advisory,Optimization,Monthly,sha256:4eee514e4174de62 is classified as persona 'information_worker'. Their current SKU SPE_E5 provides features beyond what this persona requires. Consider O365_BUSINESS_PREMIUM.,SPE_E5,sha256:4eee514e4174de62,user_license,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,44.5,2b759b533887bf49bfbe16dd18abab46fb987c1f6fef6f391aed7584c9bd1523,M365.OVER_LICENSED_VS_PERSONA,medium
Microsoft,Microsoft,Microsoft 365,Collaboration,,Advisory,Optimization,Monthly,sha256:68912ee6976f6653 is classified as persona 'information_worker'. Their current SKU SPE_E5 provides features beyond what this persona requires. Consider O365_BUSINESS_PREMIUM.,SPE_E5,sha256:68912ee6976f6653,user_license,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,44.5,b15cea74c69719fdf5c68fefbd700db8465ea338895e7c5f745ac1b4804942f4,M365.OVER_LICENSED_VS_PERSONA,medium
Microsoft,Microsoft,Microsoft 365,Collaboration,,Advisory,Optimization,Monthly,sha256:b18bee93a260c831 is classified as persona 'information_worker'. Their current SKU SPE_E3 provides features beyond what this persona requires. Consider O365_BUSINESS_PREMIUM.,SPE_E3,sha256:b18bee93a260c831,user_license,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,23.5,3e38c7a6e3e8b61920da0160762ec1ebb268f0d6a235178bad8091e470c44485,M365.OVER_LICENSED_VS_PERSONA,medium
Microsoft,Microsoft,Microsoft 365,Collaboration,,Advisory,Optimization,Monthly,sha256:ef73380a88ef4f55 is classified as persona 'frontline_worker'. Their current SKU SPE_E5 provides features beyond what this persona requires. Consider SPE_F3.,SPE_E5,sha256:ef73380a88ef4f55,user_license,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,49.0,4405180c95b43c5113faa6826bac9c17eba97276240d704779fddc8d3475553e,M365.OVER_LICENSED_VS_PERSONA,medium
Microsoft,Microsoft,Microsoft 365,Collaboration,,Advisory,Optimization,Monthly,Shared mailbox sha256:909667c749d6ebb9 (9.5 GB) does not need a paid Exchange license below the 50 GB threshold. Remove EXCHANGESTANDARD.,EXCHANGESTANDARD,sha256:909667c749d6ebb9,user_license,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,4.0,9fd36e89254b0001a64197dc577c67425af8e5e98b7356e371363b9102a4ab5d,M365.SHARED_MAILBOX_LICENSED,medium
Microsoft,Microsoft,Microsoft 365,Collaboration,,Advisory,Optimization,Monthly,Remove the SPE_E3 assignment from sha256:240ece34ff6a9236 or step down to a lower-cost SKU. No covered service has recorded activity in the last 30 days.,SPE_E3,sha256:240ece34ff6a9236,user_license,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,36.0,c4eb464e47cff980ec90ba9b1c1083d8361b915220338e9f6a810172ecaab4f0,M365.UNUSED_LICENSE_30D,high
Microsoft,Microsoft,Microsoft 365,Collaboration,,Advisory,Optimization,Monthly,Remove the M365_COPILOT assignment from sha256:3498566c1646cc7a or step down to a lower-cost SKU. No covered service has recorded activity in the last 30 days.,M365_COPILOT,sha256:3498566c1646cc7a,user_license,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,30.0,1ca28c60de02bde0f0928165be2d3c89e72e8cd02766c5e51d7bdadfbacd5907,M365.UNUSED_LICENSE_30D,high
Microsoft,Microsoft,Microsoft 365,Collaboration,,Advisory,Optimization,Monthly,Remove the SPE_E3 assignment from sha256:405ee3fd5bda4576 or step down to a lower-cost SKU. No covered service has recorded activity in the last 30 days.,SPE_E3,sha256:405ee3fd5bda4576,user_license,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,36.0,0b198dd35707527264f29ce8bceea21140eeea4a49b86101ddbc17f339d7fed5,M365.UNUSED_LICENSE_30D,high
Microsoft,Microsoft,Microsoft 365,Collaboration,,Advisory,Optimization,Monthly,Remove the M365_COPILOT assignment from sha256:405ee3fd5bda4576 or step down to a lower-cost SKU. No covered service has recorded activity in the last 30 days.,M365_COPILOT,sha256:405ee3fd5bda4576,user_license,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,30.0,b97c320f3b865476d4e149fefd0dc77b9edf265cb4ff1fb90a451816d64a4a15,M365.UNUSED_LICENSE_30D,high
